tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-580,Australian Open,Hard,128,G,20170116,135,104259,32,,Philipp Kohlschreiber,R,178,GER,33.25393566,33,1325,105932,,,Nikoloz Basilashvili,R,185,RUS,24.89801506,92,630,6-4 3-6 7-6(2) 6-4,5,R128,151,12,4,114,66,51,28,21,4,7,3,2,137,95,64,21,20,3,7
2017-580,Australian Open,Hard,128,G,20170116,136,100644,24,,Alexander Zverev,R,198,GER,19.74264203,24,1655,104898,,,Robin Haase,R,190,NED,29.78234086,57,808,6-2 3-6 5-7 6-3 6-2,5,R128,174,17,10,144,92,69,24,23,12,16,13,11,140,81,60,24,23,7,14
2017-580,Australian Open,Hard,128,G,20170116,137,126207,,,Francis Tiafoe,R,,USA,18.98973306,108,550,105062,,,Mikhail Kukushkin,R,183,KAZ,29.05954825,98,602,6-1 6-7(3) 6-3 6-2,5,R128,157,13,4,114,63,51,28,18,4,5,9,3,111,65,44,22,18,8,14
2017-580,Australian Open,Hard,128,G,20170116,138,104571,,,Marcos Baghdatis,R,183,CYP,31.58384668,36,1210,104022,,,Mikhail Youzhny,R,183,RUS,34.56262834,70,707,6-3 3-0 RET,5,R128,65,4,1,36,17,15,11,6,2,2,1,2,49,31,18,7,6,7,10
2017-580,Australian Open,Hard,128,G,20170116,139,104745,9,,Rafael Nadal,L,185,ESP,30.62286105,9,3195,104252,,,Florian Mayer,R,190,GER,33.28405202,49,903,6-3 6-4 6-4,5,R128,124,6,0,76,53,41,19,15,0,0,7,1,102,66,41,22,14,9,12
2017-580,Australian Open,Hard,128,G,20170116,140,105138,13,,Roberto Bautista Agut,R,183,ESP,28.75838467,14,2350,105550,,,Guido Pella,L,185,ARG,26.66940452,81,685,6-3 6-1 6-1,5,R128,83,7,1,60,38,37,12,12,1,1,5,5,67,40,23,8,11,6,12
2017-580,Australian Open,Hard,128,G,20170116,141,106415,,,Yoshihito Nishioka,L,,JPN,21.30595483,99,602,106109,,,Alex Bolt,L,,AUS,24.03011636,632,46,6-4 1-6 6-2 6-4,5,R128,150,1,4,115,67,46,26,18,4,7,19,5,118,72,50,20,17,5,10
2017-580,Australian Open,Hard,128,G,20170116,142,124014,,,Ernesto Escobedo,R,,USA,20.53661875,131,455,106421,,,Daniil Medvedev,R,,RUS,20.93086927,63,751,7-5 4-6 7-6(5) 6-1,5,R128,156,9,3,122,68,52,35,21,4,5,12,9,135,79,61,29,20,7,11
2017-580,Australian Open,Hard,128,G,20170116,143,103970,21,,David Ferrer,R,175,ESP,34.7926078,23,1740,117357,,,Omar Jasika,L,,AUS,19.6659822,290,172,6-3 6-0 6-2,5,R128,85,4,2,67,44,38,11,12,1,1,1,5,68,41,25,9,11,6,12
2017-580,Australian Open,Hard,128,G,20170116,144,104468,25,,Gilles Simon,R,183,FRA,32.05475702,25,1585,111581,,,Michael Mmoh,R,,USA,19.01711157,190,297,6-1 6-3 6-3,5,R128,110,2,3,83,39,25,31,13,4,5,4,4,77,51,28,10,12,2,8
2017-580,Australian Open,Hard,128,G,20170116,145,104297,,,Rogerio Dutra Silva,R,178,BRA,32.95277207,100,600,111577,,,Jared Donaldson,R,,USA,20.27104723,101,596,3-6 0-6 6-1 6-4 6-4,5,R128,185,13,3,130,77,54,26,21,7,12,9,5,132,78,52,29,21,8,13
2017-580,Australian Open,Hard,128,G,20170116,146,104180,,,Gilles Muller,L,193,LUX,33.69199179,28,1415,126203,,,Taylor Harry Fritz,R,,USA,19.21971253,93,628,7-6(6) 7-6(5) 6-3,5,R128,134,30,4,108,70,58,22,17,6,6,12,4,103,70,53,18,16,0,1
2017-580,Australian Open,Hard,128,G,20170116,147,105683,3,,Milos Raonic,R,196,CAN,26.05612594,3,5290,104460,,,Dustin Brown,R,196,GER,32.10677618,66,738,6-3 6-4 6-2,5,R128,92,18,5,79,50,41,18,14,3,3,3,7,93,55,34,20,13,6,10
2017-580,Australian Open,Hard,128,G,20170116,148,106233,8,,Dominic Thiem,R,185,AUT,23.37029432,8,3415,105526,,,Jan Lennard Struff,R,,GER,26.72963723,58,796,4-6 6-4 6-4 6-3,5,R128,174,12,9,132,62,52,30,20,8,10,13,10,140,74,59,26,19,14,19
2017-580,Australian Open,Hard,128,G,20170116,149,111442,,,Jordan Thompson,R,,AUS,22.74332649,76,699,105311,,,Joao Sousa,R,185,POR,27.80013689,37,1135,6-7(2) 4-6 6-3 6-2 6-1,5,R128,201,23,1,146,97,71,26,23,8,11,4,5,132,73,49,31,23,5,13
2017-580,Australian Open,Hard,128,G,20170116,150,105332,,,Benoit Paire,R,196,FRA,27.69336071,47,960,103163,,,Tommy Haas,R,188,GER,38.78986995,,,7-6(2) 6-4 RET,5,R128,97,22,4,74,43,35,16,11,1,2,4,5,84,45,25,24,11,3,5
