tourney_name,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
Australian Open,104542,R,188,FRA,28.74195756,10,3065,104468,R,183,FRA,29.045859,19,1790,7-6(5) 6-4 6-2,R32,113,17,0,92,60,48,21,15,3,3,7,3,81,43,34,22,15,3,6
Australian Open,103819,R,185,SUI,32.43258042,6,4355,104559,R,188,RUS,28.64339494,79,651,6-2 6-2 6-3,R32,101,6,1,73,45,39,16,13,5,5,3,5,91,63,38,10,12,9,14
Australian Open,104607,R,196,CZE,28.32306639,7,4180,106000,R,172,BIH,21.65092402,188,272,6-4 6-2 6-2,R32,105,13,1,72,41,37,19,13,2,2,5,6,79,35,25,17,13,4,9
Australian Open,104731,R,203,RSA,27.65776865,21,1580,104273,R,188,FRA,30.12731006,40,1038,3-6 4-6 6-3 7-6(5) 7-5,R32,234,27,6,151,101,77,26,26,4,7,8,4,175,129,93,21,26,9,12
Australian Open,104252,R,190,GER,30.275154,37,1110,105668,R,203,POL,23.16769336,20,1615,7-5 6-2 6-2,R32,98,17,0,68,45,41,16,14,1,1,3,7,93,48,34,18,14,6,11
Australian Open,103970,R,175,ESP,31.78370979,3,5640,104871,R,188,FRA,26.91854894,31,1255,6-2 7-6(5) 6-2,R32,132,2,1,87,63,44,17,14,2,3,9,8,111,64,44,17,14,6,11
Australian Open,104527,R,183,SUI,28.79671458,8,3890,105577,R,193,CAN,23.55920602,30,1289, W/O,R32,,,,,,,,,,,,,,,,,,,
Australian Open,103990,R,180,ESP,31.70431212,18,1810,104755,R,185,FRA,27.57289528,9,3140,2-6 7-5 6-4 7-6(6),R32,199,16,3,139,90,70,21,21,6,9,3,5,138,86,62,27,21,4,7
Australian Open,104926,R,178,ITA,26.64202601,16,1930,105023,R,198,USA,26.2696783,51,915,7-5 6-4 6-4,R32,115,9,3,91,54,40,27,16,3,4,10,1,103,65,43,19,16,6,10
Australian Open,104925,R,188,SRB,26.64750171,2,12260,104797,R,188,UZB,27.35112936,49,945,6-3 6-3 7-5,R32,119,6,1,78,48,37,21,15,0,1,5,1,86,57,41,10,15,3,8
Australian Open,104745,L,185,ESP,27.61396304,1,13130,105453,R,178,JPN,24.04106776,17,1915,7-6(3) 7-5 7-6(3),R16,197,12,1,124,88,67,14,18,6,10,3,1,115,76,51,16,18,3,8
Australian Open,105777,R,188,BUL,22.66392882,22,1460,105138,R,,ESP,25.74948665,62,750,6-3 3-6 6-2 6-4,R16,144,11,3,112,67,57,21,18,4,5,5,1,102,65,44,22,18,1,5
Australian Open,104918,R,190,GBR,26.66666667,4,5560,103565,R,185,FRA,33.65913758,119,479,6-1 6-2 6-7(6) 6-2,R16,162,7,3,126,77,58,26,18,5,6,3,8,114,59,40,21,17,7,14
Australian Open,103819,R,185,SUI,32.43258042,6,4355,104542,R,188,FRA,28.74195756,10,3065,6-3 7-5 6-4,R16,112,7,1,84,48,42,25,16,1,1,8,1,88,46,32,23,15,4,7
Australian Open,104607,R,196,CZE,28.32306639,7,4180,104731,R,203,RSA,27.65776865,21,1580,6-2 6-2 6-3,R16,118,7,3,71,37,33,21,13,0,0,17,1,87,62,39,10,12,12,17
Australian Open,103970,R,175,ESP,31.78370979,3,5640,104252,R,190,GER,30.275154,37,1110,6-7(5) 7-5 6-2 6-1,R16,175,3,1,118,76,56,23,19,8,11,4,3,153,94,52,27,20,10,19
Australian Open,104527,R,183,SUI,28.79671458,8,3890,103990,R,180,ESP,31.70431212,18,1810,6-3 7-6(3) 7-6(5),R16,143,14,3,107,62,54,24,17,3,4,1,0,107,76,53,14,16,3,5
Australian Open,104925,R,188,SRB,26.64750171,2,12260,104926,R,178,ITA,26.64202601,16,1930,6-3 6-0 6-2,R16,93,8,2,60,43,38,12,12,0,0,3,7,91,54,32,13,11,16,22
Australian Open,104745,L,185,ESP,27.61396304,1,13130,105777,R,188,BUL,22.66392882,22,1460,3-6 7-6(3) 7-6(7) 6-2,QF,217,3,7,124,91,66,22,20,3,6,18,5,155,90,64,32,21,7,11
Australian Open,103819,R,185,SUI,32.43258042,6,4355,104918,R,190,GBR,26.66666667,4,5560,6-3 6-4 6-7(6) 6-3,QF,200,10,0,122,78,60,29,21,1,2,9,1,146,89,60,28,19,13,17
Australian Open,104607,R,196,CZE,28.32306639,7,4180,103970,R,175,ESP,31.78370979,3,5640,6-1 6-4 2-6 6-4,QF,184,10,4,129,67,52,27,18,9,12,2,1,118,72,46,23,17,8,13
Australian Open,104527,R,183,SUI,28.79671458,8,3890,104925,R,188,SRB,26.64750171,2,12260,2-6 6-4 6-2 3-6 9-7,QF,240,17,5,170,98,71,36,25,3,7,7,1,144,105,75,23,26,5,10
Australian Open,104745,L,185,ESP,27.61396304,1,13130,103819,R,185,SUI,32.43258042,6,4355,7-6(4) 6-3 6-3,SF,144,3,1,86,56,41,22,15,1,2,8,1,105,69,45,18,15,10,14
Australian Open,104527,R,183,SUI,28.79671458,8,3890,104607,R,196,CZE,28.32306639,7,4180,6-3 6-7(1) 7-6(3) 7-6(4),SF,211,18,4,145,88,72,32,23,1,1,21,7,140,87,71,30,22,3,4
Australian Open,104527,R,183,SUI,28.79671458,8,3890,104745,L,185,ESP,27.61396304,1,13130,6-3 6-2 3-6 6-3,F,141,19,2,96,53,46,22,18,4,6,1,3,108,84,50,10,17,10,15
Roland Garros,104745,L,185,ESP,27.97809719,1,12500,104068,R,183,USA,31.63312799,279,169,6-0 6-3 6-0,R128,102,1,0,52,30,26,15,10,1,1,2,4,86,59,25,11,11,11,19
Roland Garros,106233,R,,AUT,20.72553046,57,812,103908,R,185,FRA,32.36687201,90,611,6-4 7-6(3) 6-2,R128,128,4,5,90,42,33,28,15,3,5,2,4,85,53,31,19,15,4,9
Roland Garros,104919,R,188,ARG,27.03080082,65,733,105902,R,183,AUS,22.34360027,165,331,5-7 6-2 6-4 7-6(2),R128,158,14,7,107,67,62,21,21,1,3,5,0,128,83,57,27,21,2,6
Roland Garros,104559,R,188,RUS,29.00752909,58,798,105577,R,193,CAN,23.92334018,31,1170,6-4 6-2 6-3,R128,100,1,1,69,42,32,18,13,1,2,6,3,91,57,34,14,14,9,15
Roland Garros,106058,R,185,USA,21.66735113,75,678,104597,R,183,ESP,28.76112252,22,1620,5-0 RET,R128,21,1,0,10,4,3,5,2,0,0,0,2,17,8,2,3,3,1,4
Roland Garros,105449,R,188,USA,24.41889117,64,748,106362,U,,FRA,19.60301164,406,104,4-6 6-7(7) 7-6(3) 6-3 6-3,R128,237,5,3,180,88,56,58,26,11,16,18,10,164,80,58,43,26,7,14
Roland Garros,105583,R,180,SRB,23.90417522,83,632,105643,L,190,ARG,23.6386037,34,1138,6-3 6-2 6-3,R128,111,2,1,77,45,39,19,13,2,2,2,1,85,52,34,13,13,3,8
Roland Garros,105132,R,190,EST,26.15742642,335,133,103163,R,188,GER,36.14510609,18,2005,2-5 RET,R128,27,2,0,21,11,8,5,3,0,1,4,0,18,12,11,5,4,0,0
Roland Garros,103333,R,208,CRO,35.23887748,37,1097,105777,R,188,BUL,23.02806297,12,2515,6-4 7-5 7-6(4),R128,118,22,2,95,60,53,23,17,1,1,11,6,100,59,45,24,17,2,4
Roland Garros,104890,R,190,AUT,27.17864476,104,553,104978,R,196,GER,26.85831622,131,430,4-6 4-6 6-2 6-3 6-4,R128,168,14,9,137,77,61,30,24,2,6,12,6,144,98,65,23,23,12,18
Roland Garros,105678,L,,FRA,23.44147844,206,238,105614,L,190,USA,23.76454483,71,705,6-1 6-7(4) 5-7 6-1 6-4,R128,226,3,1,141,105,57,20,23,11,20,3,8,187,119,63,22,25,16,31
Roland Garros,104731,R,203,RSA,28.02190281,20,1710,103565,R,185,FRA,34.02327173,74,695,7-5 6-3 6-4,R128,110,11,5,83,51,45,19,16,1,2,3,3,104,50,33,30,15,14,18
Roland Garros,104312,R,190,ITA,30.2587269,33,1150,105053,R,188,COL,26.49418207,35,1118,6-3 7-5 6-3,R128,111,8,1,85,46,33,26,15,1,3,3,1,101,69,41,14,15,11,17
Roland Garros,104338,R,185,ARG,30.15742642,76,675,106298,R,,FRA,20.25188227,190,268,6-3 6-1 6-4,R128,100,0,3,79,60,39,9,13,8,12,2,0,78,54,27,8,13,4,13
Roland Garros,104620,R,183,ITA,28.62970568,150,385,105063,L,,ITA,26.41204654,173,307,6-4 6-4 6-2,R128,124,3,2,99,68,47,18,14,5,6,7,1,83,57,35,13,14,5,10
Roland Garros,103970,R,175,ESP,32.14784394,5,5030,104997,R,190,NED,26.770705,55,840,6-4 6-3 6-1,R128,100,1,1,77,48,33,22,13,1,2,3,3,88,56,32,15,13,4,10
Roland Garros,104198,R,188,ESP,30.97604381,41,1063,104527,R,183,SUI,29.16084873,3,5830,6-4 5-7 6-2 6-0,R128,143,2,5,113,56,42,29,18,4,7,5,1,98,56,30,23,18,4,12
Roland Garros,105173,L,183,FRA,25.90554415,89,612,104229,R,180,TPE,30.7816564,48,968,6-2 6-1 6-1,R128,74,6,1,62,38,29,18,11,0,0,1,5,61,37,23,5,11,3,10
Roland Garros,105385,L,183,USA,24.84052019,79,647,104534,R,175,ISR,29.14168378,110,531,6-1 2-6 6-1 6-0,R128,134,3,4,103,69,46,19,14,4,6,0,8,112,76,41,15,14,10,18
Roland Garros,103852,L,188,ESP,32.678987,27,1395,106000,R,172,BIH,22.01505818,129,431,6-3 7-6(8) 6-3,R128,153,8,1,115,71,52,26,16,6,7,1,0,96,61,41,20,14,6,9
Roland Garros,104792,R,193,FRA,27.73169062,28,1390,103812,R,198,ROU,32.84599589,85,626,6-2 4-6 6-4 6-2,R128,151,10,4,114,69,47,24,18,8,12,1,2,114,85,50,10,18,9,17
Roland Garros,105526,R,,GER,24.08487337,62,753,105874,R,203,FRA,22.50239562,161,340,6-1 6-4 6-4,R128,101,8,1,81,47,38,22,14,4,4,14,6,80,43,34,13,13,3,7
Roland Garros,105064,L,188,BRA,26.40383299,108,540,103794,R,178,GER,32.94182067,69,713,6-2 6-4 3-6 4-6 6-2,R128,175,15,3,121,65,47,33,22,3,7,8,5,148,75,54,33,23,5,12
